userid,max
dbrady,2020-02-20 20:57:27
jmanuel2,2020-02-20 20:51:47
cpak4,2020-02-20 20:39:47
bsmith28,2020-02-20 20:35:18
ry22,2020-02-20 20:34:40
ilee26,2020-02-20 20:33:45
mzhan104,2020-02-20 20:33:42
aboden,2020-02-20 20:30:27
aeddy,2020-02-20 20:29:55
nyoung10,2020-02-20 20:29:36
dflores3,2020-02-20 20:13:59
dnam1,2020-02-20 20:12:17
rpaul5,2020-02-20 19:40:08
crusch,2020-02-20 19:39:03
mhedman,2020-02-20 19:33:58
mwang102,2020-02-20 19:27:45
tliu46,2020-02-20 19:13:20
smarti20,2020-02-20 19:08:53
eli42,2020-02-20 18:38:40
twang78,2020-02-20 18:37:51
astokely,2020-02-20 18:32:44
szhi,2020-02-20 18:30:24
lho11,2020-02-20 18:23:23
yhiraide,2020-02-20 18:18:22
hdandapa,2020-02-20 18:05:41
slee251,2020-02-20 17:59:16
jlee283,2020-02-20 17:51:27
mcui5,2020-02-20 17:43:53
